edrpou,document,type_of_construction,legal_base,n
02070944,дозвіл на будівельні роботи,"Ремонтно-реставраційні роботи цегляного муру на розі вулиць Л. Толстого та Володимирської у м. Києві (складова частина комплексу споруд Київського національного університету імені Тараса Шевченка по вул. Володимирській, 58, 60, 62 та бул. Т. Шевченка, 14, пам'ятка історії ХІХ ст. національного значення, охоронний № 260016-Н); м.Київ, вул. Володимирська, 60",не зазначено,7
02070944,сертифікат,"Коригування проекту ""Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-ІV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м. Києва"" 1-ша черга будівництва"", (пусковий комплекс 7, житловий будинок № 13)""; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт ЯЯ 389538 2010-10-08,7
02070944,сертифікат,"Коригування проекту ""Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-ІV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м. Києва"" 1-ша черга будівництва"", (пусковий комплекс 6, житловий будинок № 12); м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт ЯЯ 389538 2010-10-08,7
02070944,сертифікат,"Коригування проекту ""Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-IV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м. Києва"" 1-ша черга будівництва, (ІІ-ий пусковий комплекс, житловий будинок №7); м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт яя 389538 2010-10-08,7
02070944,сертифікат,"Коригування проекту будівництва житлових будинків та об'єктів соціально-побутової сфери на проспекті Академіка Глушкова, 6 в Голосіївському районі м. Києва. 1 черга будівництва. Житловий будинок № 10 та ТП-46. Пускові комплекси 4 та 10; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",не зазначено,7
02070944,сертифікат,"Коригування проекту будівництва житлових будинків та об'єктів соціально-побутової сфери на проспекті Академіка Глушкова, 6 в Голосіївському районі м. Києва. 1 черга будівництва. Житловий будинок №11 та ТП-45. Пускові комплекси 5 та 9; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт яя 389538 2010-10-08,7
02070944,декларація про готовність об'єкта до експлуатації,"Будівництво стадіону (фізкультурно-оздоровчої споруди) Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт 07-9-00113 2010-04-29,7
02070944,зміна даних у повідомленні про початок будівельних робіт,"Будівництво стадіону (фізкультурно-оздоровчої споруди) Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт 07-9-00113 2010-04-29,7
02070944,сертифікат,"Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-ІV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м.Києва. Житловий будинок №8 та ТП-47, 1 черга, пускові комплекси 3 та 11; м.Київ, прсп. Глушкова, 6",державний акт ЯЯ 389539 2010-10-08,7
02070944,повідомлення про початок будівельних робіт,"Будівництво стадіону (фізкультурно-оздоровчої споруди) Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт 07-9-00113 2010-04-29,7
02070944,сертифікат,"Будівництво житлових будинків з приміщеннями соціально-побутового призначення та підземною автостоянкою на вул. Ломоносова, 73-79 у Голосіївському районі м. Києва (ІV пусковий комплекс, житлові будинки Б6, Б7); м.Київ, Голосіївський, вул. Ломоносова, 73-79",державний акт ЯЯ 080714 2016-10-25,7
02070944,декларація про початок будівельних робіт,"Капітальний ремонт з підсиленням будівельних конструкцій лівого крила будівлі гуртожитку № 1 Коледжу геологорозвідувальних технологій КНУ ім. Т. Шевченка; м.Київ, Печерський, вул. Анрі Барбюса, 9",державний акт 02-9-00022 2005-03-15,7
02070944,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт покрівлі гуртожитку № 19 Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, вул. Васильківська, 94",не зазначено,7
02070944,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-ІV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м.Києва; м.Київ, прсп. Глушкова, 6",не зазначено,7
02070944,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі гуртожитку № 19 Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, вул. Васильківська, 94",не зазначено,7
02070944,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків та об'єктів соціально-побутової сфери (І-ІІ-ІІІ-ІV черги будівництва) за адресою: просп. Глушкова, 6 у Голосіївському районі м.Києва; м.Київ, прсп. Глушкова, 6",не зазначено,7
02070944,декларація про початок будівельних робіт,"Капітальний ремонт огородження ботанічного саду ім. Академіка Фоміна Київського національного університету ім. Тараса Шевченка (1-ша черга - вздовж бульвару Т. Шевченка) ; м.Київ, Шевченківський, вул. Симона Петлюри, 1",державний акт 91-4-00061 2002-07-05,7
02070944,сертифікат,"Будівництво житлових будинків з приміщеннями соціально-побутового призначення та підземною автостоянкою за адресою: вул. Ломоносова, 73-79 у Голосіївському районі \ м. Києва. (ІІІ пусковий комплекс); м.Київ, вул. Ломоносова, 73-79",не зазначено,7
02070944,декларація про початок будівельних робіт,"Капітальний ремонт їдальні (цехів з приготування їжі) Українського фізико-математичного ліцею Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, прсп. Академіка Глушкова, 6",державний акт 07-9-00111 2010-04-29,7
02070944,декларація про початок будівельних робіт,"Капітальний ремонт з обстеження в гуртожитку №1 Київського національного університету імені Тараса Шевченка; м.Київ, Голосіївський, вул. Ломоноова, 35",не зазначено,7
02070944,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків з приміщеннями соціально-побутового призначення та підземною автостоянкою; м.Київ, вул. Ломоносова, 73-79",не зазначено,7
02070944,сертифікат,"будівництво житлових будинків з приміщеннями соціально-побутового призначення та підземною автостоянкою (II пусковий комплекс); м.Київ, вул. Ломоносова, 73-79",державний акт ЯЯ 080714 2005-02-16,7
02070944,декларація про початок будівельних робіт,"Реконструкція берегоукрівлювальних споруд пляжу навчально - наукового центру рекреації та туризму Київського національного університету імені Тараса Шевченка; АР Крим, Бахчисарайський район, с. Берегове, вул. В. Морська, 1",державний акт І-КМ 001651 1995-02-27,7
02070944,декларація про початок будівельних робіт,"капітальний ремонт гуртожитку №19 Київського національного університету імені Тараса Шевченка на вул. Васильківська, 94 у Шевченківському районі м.Києва, категорія складності-ІІІ",не зазначено,7
02070944,декларація про початок будівельних робіт,"капітальний ремонт гуртожитку №19 Київського національного університету імені Тараса Шевченка на вул. Васильківська, 94 у Шевченківському районі м.Києва, категорія складності-ІІІ",не зазначено,7
02214159,сертифікат,"Будівництво навчальних корпусів, гуртожитку і житлового будинку та реконструкції з розширенням основного навчального корпусу і студентського гуртожитку в частині зміни функціонального призначення окремих об’єктів, а саме: для будівництва, експлуатації та обслуговування адміністративних навчальних корпусів, гуртожитку з житловим будинком та житлового будинку на вул. Щорса, 36 в Печерському районі м. Києва. Гуртожиток з житловим будинком – IV черга будівництва; м.Київ, вул. Щорса, 36",не зазначено,7
02214159,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво нових навчального корпусу, гуртожитку для аспірантів, житлового будинку та реконструкція з розширенням існуючих навчальних корпусів і студентського гуртожитку; м.Київ, вул. Щорса, 36",не зазначено,7
02214159,сертифікат,"Будівництво нових навчального корпусу, гуртожитку для аспірантів, житлового будинку та реконструкції з розширенням існуючих навчальних корпусів і студентського гуртожитку на вул. Щорса, 36 у Печерському районі м. Києва. Адміністративно-навчальний корпус.",не зазначено,7
02214171,декларація про початок будівельних робіт,"Реставрація фасадів будинку Київського національного університету театру, кіно і телебачення імені І.К.Карпенка -Карого (пам'ятка архітектури на вул. Ярославів Вал, 40 у Шевченківському районі м. Києва, категорія складності ІІІ",не зазначено,7
02214171,декларація про початок будівельних робіт,"Реставрація фасадів будинку Київського національного університету театру, кіно і телебачення імені І.К.Карпенка -Карого (пам'ятка архітектури на вул. Ярославів Вал, 40 у Шевченківському районі м. Києва, категорія складності ІІІ",не зазначено,7
02070890,декларація про готовність об'єкта до експлуатації,"із реконструкції з розширенням гуртожитку №7 на вул.Лейпцизькій, 16 у Печерському районі, ІІІ категорія складності",не зазначено,7
02070890,декларація про готовність об'єкта до експлуатації,"із реконструкції з розширенням гуртожитку №7 на вул.Лейпцизькій, 16 у Печерському районі, ІІІ категорія складності",не зазначено,7
02136554,дозвіл на будівельні роботи,"Будівництво (встановлення) швидко монтованих будівель-мобільних житлово-побутових модулів на території Київського університету імені Бориса Грінченка на бульварі Ігоря Шамо (колишній бульв Олексія Давидова), 18/2 у Дніпровському районі м. Києва; м.Київ, Дніпровський, бул. Ігоря Шамо (Олексія Давидова), 18/2",витяг з реєстру прав власності (інформаційна довідка) 54334903 2018-03-01,7
02136554,повідомлення про початок підготовчих робіт,"Будівництво (встановлення) швидкомонтованих будівель - мобільних житлово-побутових модулів на території Київського університету імені Бориса Грінченка; м.Київ, Дніпровський, вул. Ігоря Шамо, 18/2",витяг з реєстру прав власності (інформаційна довідка) 54334903 2016-03-01,7
02136554,декларація про початок будівельних робіт,"Капітальний ремонт спортивного майданчика Київського університету імені Бориса Грінченка (пр. Юрія Гагаріна, 16); м.Київ, Дніпровський, прсп. Юрія Гагаріна, 16",не зазначено,7
02136554,декларація про готовність об'єкта до експлуатації,"Реконструкція технічного поверху навчального корпусу Київського університету імені Бориса Грінченка; м.Київ, Оболонський, вул. Маршала Тимошенка, 13-Б",не зазначено,7
02136554,декларація про початок будівельних робіт,"Реконструкція технічного поверху навчального корпусу Київського університету імені Бориса Грінченка; м.Київ, Оболонський, вул. Маршала Тимошенка, 13-Б",не зазначено,7
23745145,декларація про початок будівельних робіт,"Реконструкція з добудовою будинку Київського університету права Національної академії наук України; м.Київ, Святошинський, вул. Академіка Доброхотова, 7-а",державний акт ЯЯ 070139 2010-05-19,8
23745145,декларація про готовність об'єкта до експлуатації,"Реконструкція з добудовою будинку Київського університету права НАН України; м.Київ, Святошинський, вул. Доброхотова, 7-А",державний акт ЯЯ 070139 2010-05-19,8
23745145,декларація про початок будівельних робіт,"Реконструкція з добудовою будинку Київського університету права НАН України; м.Київ, Святошинський, вул. Доброхотова, 7-А",державний акт ЯЯ 070139 2010-05-19,8
02214938,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт учбових приміщень будівлі КВНЗКОР ""Коледж культури і мистецтв""; м.Київ, Печерський, вул. Івана Мазепи, 15",не зазначено,7
02214938,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт учбових приміщень будівлі КВНЗКОР ""Коледж культури і мистецтв""; м.Київ, Печерський, вул. Івана Мазепи, 15",не зазначено,7
02214938,декларація про початок будівельних робіт,"Капітальний ремонт учбових приміщень будівлі КВНЗКОР ""Коледж культури і мистецтв""; м.Київ, Печерський, вул. Івана Мазепи, 15",не зазначено,7
02214938,декларація про початок будівельних робіт,"Капітальний ремонт учбових приміщень будівлі КВНЗКОР ""Коледж культури і мистецтв""; м.Київ, Печерський, вул. Івана Мазепи, 15",не зазначено,7
08751177,повідомлення про початок підготовчих робіт,"Реконструкція гуртожитків; м.Київ, Солом'янський, вул. Кудряшова, 8/10",витяг з реєстру прав власності (інформаційна довідка) 128249127 2018-06-20,7
08751177,дозвіл на будівельні роботи,"Будівництво стрілецького палігону з об'єктами спецпризначення на території НАВС; Київська обл., Києво-Святошинський р-н, с. Віта-Поштова, інше на території НАВС, 00",державний акт КВ 1М000019 1994-03-30,7
08751177,сертифікат,"Будівництво багатоповерхового житлового будинку з вбудовано-прибудованими приміщенняит нежитлового призначення на вул. Солом'янській, 20-А у Солом'янському районі м. Києва. 2 черга. Секція 2, підземний паркінг, ТП (трансформаторна підстанція); м.Київ, Солом'янський, вул. Слов'янська, 20-А",договір оренди 72-6-00561 2015-10-30,7
08751177,повідомлення про зміну даних в дозволі на будівельні роботи,"З будівництва багатоповерхового житлового будинку з вбудовано-прибудованими приміщеннями нежитлового призначення на вул. Солом'янській, 20-А у Солом'янському районі м. Києва; м.Київ, Солом'янський, вул. Солом'янська, 20-А",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на розі вулиць Пулюя та Ернста в Солом'янському районі м. Києва в частині завершення будівництва та зміни техніко-економічних показників, функціонального призначення офісного комплексу на багатоквартирний житловий будинок 4 (ІV черга); м.Київ, Солом'янський, вул. перетин вул. Ернста та Пулюя, 000",державний акт 06-9-00161 2012-12-06,7
08751177,повідомлення про початок будівельних робіт,"Капітальний ремонт їдальні № 2; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Багатофункціональний комплекс споруд громадського призначення Національної академії внутрішніх справ (перша черга будівництва); Івано-Франківська обл., м. Івано-Франківськ, вул. Національної Гвардії, 14-В",витяг з реєстру прав власності (інформаційна довідка) 17043742 2016-10-20,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт з переобладнанням приміщень першого поверху навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного ополчення, 9",не зазначено,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт приміщень цокольного поверху навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт електричних мереж навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт сантехнічних мереж навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного ополчення, 9",не зазначено,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт польових класів під навчальні приміщення на території ЦСФП НАВС; Київська область, Києво-Святошинський район, с. Віта-Поштова, вул. без вулиці, 00",не зазначено,7
08751177,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт електричних мереж території ЦСФП НАВС; Київська область, Києво-Святошинський район, с. Віта-Поштова, вул. без вулиці, 00",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт приміщень центрального корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами (трансформаторна підстанція 10/0,4 кВа (ТП №8237)); м.Київ, Солом'янський; перетин вулиць Ернста та Пулюя",державний акт ЯЯ 385090 2012-12-06,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт приміщень першого поверху їдальні № 1 ННІ № 1 НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами (ІІІ черга будівництва житловий будинок №1 секції 1, 2 з нежиитловими приміщеннями); м.Київ, Солом'янський, інше перетин вулиць Ернста та Пулюя, 0",державний акт ЯЯ 385090 2012-12-06,7
08751177,декларація про початок будівельних робіт,"Будівництво стрілецького полігону з об’єктами спецпризначення на території НАВС (перша черга будівництва); Київська обл., Києво-Святошинський р-н, с. Віта-Поштова, вул. без вулиці, 00",державний акт КВ1М 000019 1994-03-30,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасаду гуртожитку № 5 НАВС; м.Київ, Солом'янський, вул. Народного оплчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт водопровідної мережі в будівлі бойлерної НАВС; м.Київ, Солом'янський; вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт зовнішньої водопровідної мережі (перед учбовим корпусом) НАВС; м.Київ, Солом'янський; вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на розі вулиць Пулюя та Ернста в Солом'янському районі м. Києва в частині завершення будівництва та зміни техніко-економічних показників, функціонального призначення офісного комплексу на багатоквартирний житловий будинок (ІV черга); м.Київ, Солом'янський, вул. перетин вул. Ернста та Пулюя, 000",державний акт 06-9-00161 2012-12-06,7
08751177,сертифікат,"Житловий будинок з підземним паркінгом та об'єктами соціально-побутового призначення на вул. Солом'янський, 20-А у Солом'янському районі м. Києва. 1 черга будівництва (1 секція); м.Київ, Солом'янський, вул. Солом'янська, 20-А",договір оренди 72-6-00561 2009-01-23,7
08751177,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво багатоповерхового житлового будинку з вбудовано-прибудованими приміщеннями нежитлового призначення на вул. Солом'янській, 20-А у Солом'янському районі м. Києва; м.Київ, Солом'янський, вул. Солом'янська, 20-А",витяг з реєстру прав власності (інформаційна довідка) 46682457 2015-10-30,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт дорожнього покриття території центрального корпусу НАВС; м.Київ, Солом'янський; площа Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасаду гуртожитку № 2 НАВС; м.Київ, Солом'янський, вул. Ушинського, 34а",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасаду гуртожитку № 4 НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгом на перетині вулиць Ернста та Пулюя у Солом'янському районі м. Києва. Трансформаторна підстанція 10/0,4 кВ (ТП №7759); м.Київ, Солом'янський; м.Київ, Солом'янський, вул. Федора Ернста, 16-Б",державний акт ЯЯ 03850903 2012-12-06,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасаду гуртожитку № 8 НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт польових класів під навчальні приміщення на території ЦСФП НАВС; Київська область, Києво-Святошинський район, с. Віта-Поштова, вул. без вулиці, 0",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт електричних мереж території ЦСФП НАВС; Київська область, Києво-Святошинський район, с. Віта-Поштова, вул. без вулиці, 0",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт сантехнічних мереж навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт з переобладнанням приміщень першого поверху навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт електричних мереж навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт приміщень цокольного поверху навчально-адміністративного корпусу НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Частковий капітальний ремонт покрівлі навчального корпусу (над навчальним полігоном кафедри криміналістичних експертиз та лекційним залом № 301) ННІПФЕКП НАВС \ ; м.Київ, Дніпровський, вул. Карбишева, 3",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт водопровідної мережі бойлерної НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт зовнішньої водопровідної мережі НАВС; м.Київ, Солом'янський, вул. Народного ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Частковий капітальний ремонт покрівлі гуртожитку № 1 ННІПФМГБПСНГУ НАВС; м.Київ, Дарницький, вул. Колекторна, 4",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на перетині вул. Ернста та вул. Пулюя у Солом’янському районі м. Києва. Нежитлове вбудоване приміщення (№239 за технічним паспортом БТІ) –Офіс \ ; м.Київ, в",не зазначено,7
08751177,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво багатоповерхового житлового будинку з вбудовано-прибудованими приміщеннями нежитлового призначення на вул. Солом'янській, 20-а у Солом'янському районі м. Києва; м.Київ, вул. Солом'янська, 20-а",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на перетині вул. Ернста та вул. Пулюя у Солом’янському районі м. Києва. Нежитлові вбудовані приміщення (за технічним паспортом група приміщень № 204 – ""маг",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт (заміна) засувок зовнішньої водопровідної мережі на території НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт зовнішньої теплової мережі теплопостачання на території НАВС; м.Київ, Солом'янський, вул. Кудряшова, 8-10",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фойє 1-го поверху та сходових клітин гуртожитку №2 НАВС ; м.Київ, Солом'янський, вул. Ушинського, 34-А",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт тиру та санвузла казарми ФПСП НАВС ; Київська обл., Києво-Святошинський р‑н, с. Віта-Поштова, вул. без вулиці, 0",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт сходової клітини головного корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт 2-го, 3-го поверхів гуртожитку №2 НАВС; м.Київ, Солом'янський, вул. Ушинського, 34а",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт аудиторій 5 поверху головного корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт цокольних приміщень центрального корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт із заміною вікон приміщень та місць загального користування навчального корпусу НАВС ; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі гаражу центрального корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт із заміною вікон навчальних аудиторій та місць загального користування ННІ ПККМ НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт аудиторій навчального корпусу НАВС на Солом'янській площі, 1 ; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі комплексу будівель в складі їдальні та спорткомплексу ННІ ПКГБПС НАВС; м.Київ, Дарницький, вул. Колекторна, 4",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на перетині вул. Ернста та вул. Пулюя у Солом’янському районі м. Києва. \ Нежитлове вбудоване приміщення (№202 за технічним паспортом БТІ) –Офіс \ ; м.Київ,",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт внутрішніх теплових мереж з заміною теплообмінника в їдальні ННІПКГБПС; м.Київ, Дарницький, вул. Колекторна, 4",не зазначено,7
08751177,сертифікат,"Будівництво житлового комплексу з вбудовано-прибудованими приміщеннями обслуговування та паркінгами на перетині вул. Ернста та вул. Пулюя у Солом’янському районі м. Києва. \ Нежитлове вбудоване приміщення (№200 за технічним паспортом БТІ) –Офіс \ ; м.Київ,",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт 1-го поверху гуртожитку №8 НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт чоловічої душової гуртожитку №7 ННІ ПП НАВС; м.Київ, Солом'янський, вул. Кудряшова, 8-10",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт варочного цеху та мийки їдальні ФПСП НАВС в с. Віта Поштова; Київська обл., Києво-Святошинський р‑н, с. Віта-Поштова, вул. не зазначено, 0",державний акт ІІ-КВ 002723 2004-11-29,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт залу ад'юнктури навчального корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт лекційного залу №417 ННІПККМ НАВС; м.Київ, Солом'янський, вул. Народного Ополчення, 9",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт 7 поверху правого крила гуртожитку №2 НАВС; м.Київ, Солом'янський, вул. Ушинського, 34А",державний акт ар 080585 2004-11-30,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасаду навчального корпусу на території центрального корпусу НАВС; м.Київ, Солом'янський, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт зовнішньої мережі теплопостачання від гурт. №3 до гурт. №3 В та частково каналізаційної мережі гурт №3 Б у ННІПКГБПС НАВС; м.Київ, Дарницький район, вул. Колекторна, 4",не зазначено,7
08751177,сертифікат,"Нежитлове вбудоване приміщення (№203 за технічним паспортом БТІ) –Офіс; м.Київ, вул. Федора Ернста, 16-Б",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт 7 поверху гуртожитку №8 НАВС; м.Київ, Солом'янський район, пл. Солом'янська, 1",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт каналізаційної мережі НАВС ; м.Київ, Солом'янський район, пл. Солом'янська, 1",не зазначено,7
08751177,сертифікат,"Нежитлове вбудоване приміщення (№106 за технічним паспортом БТІ) – Стоматологічна клініка; м.Київ, Солом'янський район, вул. Ернста, 16-В",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі навчально-адміністративного корпусу ННІПККМ; м.Київ, Солом'янський район, вул. Народного Ополчення, 9",державний акт ЯЯ 383511 2010-02-22,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт 9-го поверху гуртожитку №8 Національної академії внутрішніх справ; пл. Солом'янська, 1; категорія складності ІІІ",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт навчально-методичного центру Національної академії внутрішніх справ; пл. Солом'янська, 1; категорія складності ІІІ",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт виробничих цехів їдальні ННІПКГБПС Національної академії внутрішніх справ; вул. Колекторна, 4; категорія складності ІІІ",не зазначено,7
08751177,декларація про початок будівельних робіт,"Капітальний ремонт фасадів будівель з ремонтом водозливної системи ННІПКГБПС НАВС на вул. Колекторній, 4 у Дарницькому районі; категорія складності - ІІІ",не зазначено,7
08751177,сертифікат,"Нежитлове приміщення № 105-салон магазин у житловому комплексі на вул.Ернста та вул.Пулюя у Солом""янському районі. 4 категорія",не зазначено,7
08751177,сертифікат,"Нежитлове приміщення № 105-салон магазин у житловому комплексі на вул.Ернста та вул.Пулюя у Солом""янському районі. 4 категорія",не зазначено,7
23696843,дозвіл на будівельні роботи,"Реконструкція навчально-лабораторного корпусу; м.Київ, вул. Ежена Потьє, 20",не зазначено,8
23696843,декларація про початок будівельних робіт,"Капітальний ремонт фасадів гуртожитку готельного типу №1 Національної академії державного Управління при Президентові України по вул. С.Перовської, 5 у Шевченківському районі; категорія складності - ІІІ",не зазначено,8
