"","university_name","university_id","university_parent_id","university_short_name","university_name_en","registration_year","university_edrpou","university_type_name","education_type_name","university_financing_type_name","university_governance_type_name","post_index","koatuu_id","region_name","koatuu_name","university_address","post_index_u","koatuu_id_u","region_name_u","koatuu_name_u","university_address_u","university_phone","university_email","university_site","university_director_post","university_director_fio"
"56","Інститут біоенергетичних культур і цукрових буряків Національної академії аграрних наук України","3702",NA,"ІБКІЦБ НААН","","2000","00489780","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія аграрних наук України","03141","8038900000","КИЇВ","Київ","вул. Клінічна, 25","03141","8038900000","КИЇВ","Київ","вул. Клінічна, 25","(044) 2755000, 2755244, 2755366","sugarbeet@ukr.net","bio.gov.ua","Директор","Роїк Микола Володимирович"
"57","Інститут біохімії ім. О.В.Палладіна Національної академії наук України","3550",NA,"","Palladin Institute of Biochemistry of the National Academy of Sciences of Ukraine","1925","05417288","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01601","8039100000","КИЇВ","Київ","вул. Леонтовича, 9","01601","8039100000","КИЇВ","Київ","вул. Леонтовича, 9","(044) 2345974, 2796365","secretar@biochemistry.org.ua","biochem.kiev.ua","Директор","Комісаренко Сергій Васильович"
"58","Інститут ботаніки ім. М.Г. Холодного Національної академії наук України","3554",NA,".","M.G. Kholodny Institute of Botany National Academy of Sciences of Ukraine","1921","05417199","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01601","8039100000","КИЇВ","Київ","вул. Терещенківська, 2","01601","8039100000","КИЇВ","Київ","вул. Терещенківська, 2","(044) 2344041, 2353206","inst@botany.kiev.ua","www.botany.kiev.ua","Директор","Мосякін Сергій Леонідович"
"59","Інститут вищої освіти Національної академії педагогічних наук України","3527",NA,"ІВО НАПН України","","2000","21707620","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","01014","8038200000","КИЇВ","Київ","вул. Бастіонна, 9","01014","8038200000","КИЇВ","Київ","вул. Бастіонна, 9","(044) 2866804","ihed@ukr.net","www.ihed.org.ua","директор Інституту вищої освіти НАПН України","Калашнікова Світлана Андріївна"
"60","Інститут водних проблем і меліорації Національної академії аграрних наук України","3559",NA,"ІВПІМ НААН","Institute of Water Problems and Land Reclamation National Academy of Agrarian Sciences of Ukraine","2000","01018947","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія аграрних наук України","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 37","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 37","(044) 2574030, 2574001","iwpim.naan@gmail.com","","Директор Інституту","Ромащенко Михайло Іванович"
"61","Інститут геологічних наук Національної академії наук України","3537",NA,"ІГН НАН України","Institute of Geological Sciences of National Academy of Sciences of Ukraine","1926","05417182","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01601","8039100000","КИЇВ","Київ","вул. Олеся Гончара, 55-Б","01601","8039100000","КИЇВ","Київ","вул. Олеся Гончара, 55-Б","(044) 4869446, 4863451, 4869334","info@igs-nas.org.ua","","Директор","Гожик Петро Феодосійович"
"62","Інститут геофізики ім. С.І.Субботіна Національної академії наук України","3585",NA,"ІГФ ім. С.І. Субботіна НАН України","Subbotin Institute of Geophysics of National Academy of Sciences of Ukraine","1960","05417259","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03680","8038600000","КИЇВ","Київ","просп. Академіка Палладіна, 32","03680","8038600000","КИЇВ","Київ","просп. Академіка Палладіна, 32","(044) 4502520; 4240112","earth@igph.kiev.ua","","Директор","Старостенко Віталій Іванович"
"63","Інститут геохімії, мінералогії та рудоутворення імені М.П. Семененка НАН України","3583",NA,"ІГМР НАН України","M.P. Semenenko Institute of Geochemistry, Mineralogy and Ore Formation of NAS of Ukraine","1969","05417064","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03680","8038600000","КИЇВ","Київ","просп. Академіка Палладіна, 34","03680","8038600000","КИЇВ","Київ","просп. Академіка Палладіна, 34","(044) 5011520, 4241270","office.igmr@gmail.com","inmof.org.ua","Директор","Пономаренко Олександр Миколайович"
"64","Інститут гідробіології Національної академії наук України","3529",NA,"ІГБ НАНУ","Institute of Hydrobiology of National Academy of Science of Ukraine","1940","05417029","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","04210","8038000000","КИЇВ","Київ","просп. Героїв Сталінграда, 12","04210","8038000000","КИЇВ","Київ","просп. Героїв Сталінграда, 12","(044) 4193981, 4189109, 4182232","post_mail@hydrobio.kiev.ua","http://hydrobio.kiev.ua","Директор","Афанасьєв Сергій Олександрович"
"65","Інститут демографії та соціальних досліджень імені М.В. Птухи Національної академії наук України","3469",NA,"ІДСД НАН України","Ptoukha Institute for Demography and Social Studies of the National academy of sciences of Ukraine","2002","26297291","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","0444866238, 4866237","demography@idss.org.ua","www.idss.org.ua","Директор Інституту демографії та соціальних досліджень імені М.В. Птухи НАН України","Лібанова Елла Марленівна"
"66","Інститут держави і права ім. В.М.Корецького Національної академії наук України","3569",NA,".","","1969","05417130","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01001","8039100000","КИЇВ","Київ","вул. Трьохсвятительська, 4","01001","8039100000","КИЇВ","Київ","вул. Трьохсвятительська, 4","(044) 2785155, 2788127, 2785474","jus@ukrpack.net","http://idpnan.org.ua/","Директор","Шемшученко Юрій Сергійович"
"67","Інститут державного управління у сфері цивільного захисту","3025",NA,"ІДУ ЦЗ","Institute of Public Administration in the Sphere of Civil Protection","2000","09511660","Заклад вищої освіти","Інститут","Державна","Державна служба України з надзвичайних ситуацій","04074","8038500000","КИЇВ","Київ","вул. Вишгородська, 21","04074","8038500000","КИЇВ","Київ","вул. Вишгородська, 21","(044)430-82-17, 430-02-22, 430-91-91","iduscz@mns.gov.ua","","Начальник Інституту","Волянський Петро Борисович"
"68","Інститут економіко-правових досліджень Національної академії наук України","3498",NA,"ІЕПД НАН України","Institute of Economic and Legal Research of NAS of Ukraine","2000","13530946","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","0442005568","office.iepd@nas.gov.ua","www.iepd.kiev.ua","директор","Устименко Володимир Анатолійович"
"69","Інститут експериментальної патології, онкології і радіобіології ім. Р. Є. Кавецького Національної академії наук України","3694",NA,"ІЕПОР ім. Р. Є. Кавецького НАН України","R.E. Кavetsky Іnstitute of Experimental Pathology, Oncology and Radiobiology of National Academy of Sciences of Ukraine","2000","05416946","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 45","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 45","(044)259-01-83","nauka@onconet.kiev.ua","","Директор","Чехун Василь Федорович"
"70","Інститут електродинаміки Національної академії наук України","3653",NA,"ІЕД НАНУ","Institute of Electrodynamics NAS of Ukraine","1947","05417236","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03680","8039100000","КИЇВ","Київ","просп. Перемоги, 56","03680","8039100000","КИЇВ","Київ","просп. Перемоги, 56","(044) 3662680; 4560151","ied1@ied.org.ua","","Директор","Кириленко Олександр Васильович"
"71","Інститут електрозварювання ім. Є.О. Патона Національної академії наук України","3647",NA,"ІЕЗ ім. Є.О. Патона НАН України","E.O. Paton Electric Welding Institute","1934","05416923","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03150","8036100000","КИЇВ","Київ","вул. Боженка, 11","03150","8036100000","КИЇВ","Київ","вул. Боженка, 11","(044) 2004783, 2873183, 5280486","office@paton.kiev.ua","","Директор","Патон Борис Євгенович"
"72","Інститут загальної енергетики Національної академії наук України","3936",NA,"","","2000","04589627","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03150","8036100000","КИЇВ","Київ","вул. Антоновича, 172","03150","8036100000","КИЇВ","Київ","вул. Антоновича, 172","220-16-70 (71)","info@ienergy.kiev.ua","www.ienergy.kiev.ua","Директор","Кулик Михайло Миколайович"
"73","Інститут захисту рослин Національної академії аграрних наук України","3648",NA,"ІЗР НААН","Institute of Plant Protection of National academy of agrarian sciences of Ukraine","1946","05523406","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія аграрних наук України","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 33","03022","8036100000","КИЇВ","Київ","вул. Васильківська, 33","(044) 2571124, 2572185","plant_prot@ukr.net","","Директор","Борзих Олександр Іванович"
"74","Інститут зоології ім. І . І.Шмальгаузена Національної академії наук України","3655",NA,"","The I.I. Schmalhausen Institute of Zoology of National Academy of Sciences of Ukraine","1930","05416975","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01030","8039100000","КИЇВ","Київ","вул. Богдана Хмельницького, 15","01030","8039100000","КИЇВ","Київ","вул. Богдана Хмельницького, 15","(044) 2351070, 2341569","iz.@izan.kiev.ua","www.izan.kiev.ua","Директор","Акімов Ігор Андрійович"
"75","Інститут інформаційних технологій і засобів навчання Національної академії педагогічних наук України","3827",NA,"ІІТЗН НАПН України","Institute of Information Technologies and Learning Tools of The National Academy of Educational Sciences of Ukraine","1999","25761786","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","04060","8039100000","КИЇВ","Київ","вул. Максима Берлинського, 9","04060","8039100000","КИЇВ","Київ","вул. Максима Берлинського, 9","(044)467-05-12, (066)977-22-39","aspirant.iitzn@mail.ru","http://iitlt.gov.ua/","Директор","Биков Валерій Юхимович"
"76","Інститут історії України Національної академії наук України","3937",NA,"Інститут історії України НАНУ","","2000","05416981","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","279-63-62","institute@history.org.ua","www.history.org.ua","",""
"77","Інститут кібернетики імені В.М.Глушкова Національної академії наук України","3610",NA,"ІК НАНУ","","2000","05417176","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03187","8036100000","КИЇВ","Київ","просп. Академіка Глушкова, 40","03187","8036100000","КИЇВ","Київ","просп. Академіка Глушкова, 40","(044) 5262008, 5267418","aik@public.icyb.kiev.ua","","директор","Сергієнко Іван Васильович"
"78","Інститут клітинної біології та генетичної інженерії Національної академії наук України","3715",NA,"ІКБГІ НАНУ","","2000","04591245","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03143","8036100000","КИЇВ","Київ","вул. Академіка Заболотного, 148","03143","8036100000","КИЇВ","Київ","вул. Академіка Заболотного, 148","044 526 71 04","info@icbge.org.ua","","Директор","Кучук Микола Вікторович"
"79","Інститут літератури ім. Т.Г. Шевченка Національної академії наук України","3964",NA,"-","","2000","05417265","Заклад вищої освіти","Інститут","Державна","Національна академія наук України","01001","8038200000","КИЇВ","Київ","вул. Михайла Грушевського, 4","01001","8038200000","КИЇВ","Київ","вул. Михайла Грушевського, 4","044 279 1084, 278-5321","admin@ilnan.gov.ua","","",""
"80","Інститут математики Національної академії наук України","3566",NA,"ІМ НАН України","","1934","05417207","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01601","8039100000","КИЇВ","Київ","вул. Терещенківська, 3","01601","8039100000","КИЇВ","Київ","вул. Терещенківська, 3","0442345150","institute@imath.kiev.ua","http://www.imath.kiev.ua","Директор","Самойленко Анатолій Михайлович"
"81","Інститут металофізики ім.Г.В.Курдюмова Національної академії наук України","3701",NA,"ІМФ ім. Г. В. Курдюмова НАН України","G. V. Kurdyumov Institute for Metal Physics of the National Academy of Sciences of Ukraine","1945","05417331","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03142","8038600000","КИЇВ","Київ","бульв. Академіка Вернадського, 36","03142","8038600000","КИЇВ","Київ","бульв. Академіка Вернадського, 36","(044) 4241005, 42425661","metall@imp.kiev.ua","","Директор","Татаренко Валентин Андрійович"
"82","Інститут мистецтвознавства, фольклористики та етнології ім. М. Т. Рильського НАН України","3705",NA,"","Rylsky Institute of Art Studies, Folklore and Ethnology of National Academy of Sciences Ukraine","2000","05417006","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","044 278 34 54","etnolog@etnolog.org.ua","","Директор","Скрипник Ганна Аркадіївна"
"83","Інститут мікробіології і вірусології ім. Д.К. Заболотного Національної академії наук України","3915",NA,"ІМВ НАН України","D.K. Zabolotny Institute of Microbiology and Virology of the National Academy of Ukraine","2000","05417087","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03143","8036100000","КИЇВ","Київ","вул. Заболотного, 154","03143","8036100000","КИЇВ","Київ","вул. Заболотного, 154","(044) 526 11 79, 526 23 89","secretar@serv.imv.kiev.ua","","директор","Підгорський Валентин Степанович"
"84","Інститут мовознавства ім. О.О.Потебні Національної академії наук України","3595",NA,"ІМ. ім.О.О.Потебні НАН України","O. O. Potebnia Institute of Linguistics of the National Academy of Sciences of Ukraine","1930","05416998","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","01001","8038200000","КИЇВ","Київ","вул. Грушевського, 4","(044) 2790292, 2787182","inmo2006@ukr.net","","Директор","Ажнюк Богдан Миколайович"
"85","Інститут молекулярної біології і генетики Національної академії наук України","3606",NA,"ІМБГ НАНУ","Institute of Molecular Biology and Genetics of National Academy of Sciences of Ukraine","1973","05417101","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03143","8036100000","КИЇВ","Київ","вул. Академіка Заболотного, 150","03143","8036100000","КИЇВ","Київ","вул. Академіка Заболотного, 150","(044) 526 11 69, 526 07 69","inform@imbg.org.ua","www.imbg.org.ua","Директор","Тукало Михайло Арсентійович"
"86","Інститут надтвердих матеріалів ім. В.М. Бакуля Національної академії наук України","3545",NA,"ІНМ ім. В.М.Бакуля НАН України","V. Bakul Institute for Superhard Materials","2000","05417377","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","04074","8038000000","КИЇВ","Київ","вул. Автозаводська, 2","04074","8038000000","КИЇВ","Київ","вул. Автозаводська, 2","044 430 85 00","atmu@meta.ua","","директор","Туркевич Володимир Зіновійович"
"87","Інститут обдарованої дитини Національної академії педагогічних наук України","4045",NA,"ІОД НАПНУ","INSTITUTE OF THE GIFTED CHILD OF THE NATIONAL ACADEMY OF EDUCATIONAL SCIENCES OF UKRAINE",NA,"35392834","Заклад вищої освіти","Інститут","Державна","Національна академія педагогічних наук України","04053","8000000000","КИЇВ","Київ","вул. Січових Стрільців, 52-д","04053","8000000000","КИЇВ","Київ","вул. Січових Стрільців, 52-д","+044(48)-127-27","iod@iod.gov.ua","www.iod.gov.ua","керівник","Гальченко Максим Сергійович"
"88","Інститут педагогіки Національної академії педагогічних наук України","3560",NA,"Інститут педагогіки НАПН України","","1926","02141221","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","01030","8039100000","КИЇВ","Київ","вул. Богдана Хмельницького, 10","01030","8039100000","КИЇВ","Київ","вул. Богдана Хмельницького, 10","044 4813771, 2262514, 2119700","nauk_org_undip@ukr.net","","Директор","Топузов Олег Михайлович"
"89","Інститут педагогічної освіти і освіти дорослих імені Івана Зязюна Національної академії педагогічних наук України","3602",NA,"ІПООД імені Івана Зязюна НАПН України","Ivan Ziaziun Institute of Pedagogical Education and Adult Education of the National Academy of Pedagogical Sciences of Ukraine","2000","21593122","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","04060","8000000000","КИЇВ","Київ","вул. Максима Берлинського, 9","04060","8000000000","КИЇВ","Київ","вул. Максима Берлинського, 9","(044)440-63-88","ipood2008@ukr.net","","Директор","Лук`янова Лариса Борисівна"
"90","Інститут підготовки кадрів державної служби зайнятості України","345",NA,"ІПК ДСЗУ","Ukrainian State Employment Service Training Institute","1993","16305291","Заклад вищої освіти","Інститут","Державна","Міністерство соціальної політики України","03038","8038900000","КИЇВ","Київ","вул. Нововокзальна, 17","03038","8038900000","КИЇВ","Київ","вул. Нововокзальна, 17","(044)2390798,5361451,5361485","ipkdczy115@ukr.net","www.ipk.edu.ua","Ректор","Войтович Радмила Василівна"
"91","Інститут проблем виховання Національної академії педагогічних наук України","3758",NA,"ІПВ НАПН УКРАЇНИ","Institute of Educational Problems National Academy of Pedagogical Sciences of Ukraine","2000","24592608","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","04060","8039100000","КИЇВ","Київ","Максима Берлинського, 9","04060","8039100000","КИЇВ","Київ","Максима Берлинського, 9","(044) 455-53-38 (044) 440-61-28","info@ipv.org.ua","","Директор Інституту проблем виховання НАПН України","Бех Іван Дмитрович"
"92","Інститут проблем математичних машин і систем Національної академії наук України","3582",NA,"ІПММС НАНУ","Institute of Mathematical Machines and Systems Problems of the Ukraine National Academy of Science","1992","05417503","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03187","8036100000","КИЇВ","Київ","просп. Глушкова, 42","03187","8036100000","КИЇВ","Київ","просп. Глушкова, 42","(044) 5262497, 5266457","aspirantura@immsp.kiev.ua","http://www.immsp.kiev.ua/postgraduate/","Директор","Морозов Анатолій Олексійович"
"93","Інститут проблем матеріалознавства ім.І.М.Францевича НАН України","3763",NA,"","Frantsevich Institute for Problems of Materials Science National Academy of Science of Ukraine","2000","05416930","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03142","8038600000","КИЇВ","Київ","вул. Кржижановського, 3","03142","8038600000","КИЇВ","Київ","вул. Кржижановського, 3","(044) 424-20-71","dir@ipms.kiev.ua","","Директор","Солонін Юрій Михайлович"
"94","Інститут проблем міцності імені Г.С. Писаренка Національної академії наук України","3536",NA,"ІПМІЦ імені Г.С. Писаренка НАН України","","2000","05417319","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01014","8038200000","КИЇВ","Київ","вул. Тимірязєвська, 2","01014","8038200000","КИЇВ","Київ","вул. Тимірязєвська, 2","(044) 2861684, 2816333","info@ipp.kiev.ua","www.ipp.kiev.ua","Директор","Харченко Валерій Володимирович"
"95","Інститут проблем моделювання в енергетиці ім. Г.Є. Пухова Національної академії наук України","3487",NA,"ІПМЕ ім. Г.Є. Пухова НАН України","Pukhov Institute for Modeling in Energy Engineering of NAS of Ukraine","2000","05516949","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03164","8038600000","КИЇВ","Київ","вул. Генерала Наумова, 15","03164","8038600000","КИЇВ","Київ","вул. Генерала Наумова, 15","(044) 4241063, 4240586","","","директор","Мохор Володимир Володимирович"
"96","Інститут проблем сучасного мистецтва Національної академії мистецтва України","4101",NA,"ІПСМ НАМ України","",NA,"26167849","Заклад вищої освіти","Інститут","Державна","Національна академія мистецтв України","01133","8000000000","КИЇВ","Київ","вул. Щорса, 18-д","01133","8000000000","КИЇВ","Київ","вул. Щорса, 18-д","+380(44)-529-46-77","ipsm2@ukr.net","www.mari.kiev.ua","Керівник","Сидоренко Віктор Дмитрович"
"97","Інститут програмних систем Національної академії наук України","3615",NA,"ІПС НАНУ","","2000","05540149","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03187","8036100000","КИЇВ","Київ","просп. Академіка Глушкова, 40","03187","8036100000","КИЇВ","Київ","просп. Академіка Глушкова, 40","044 526 55 07","iss@isofts.kiev.ua","","директор",""
"98","Інститут психології імені Г.С.Костюка Національної академії педагогічних наук України","3760",NA,"Інститут психології імені Г.С.Костюка НАПН України","NATIONAL ACADEMY OF PEDAGOGICAL SCIENCES OF UKRAINE G.S.KOSTIYK INSTITUTE OF PSYCHOLOGY","1945","02141213","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","01033","8036100000","КИЇВ","Київ","вул. Паньківська, 2","01033","8036100000","КИЇВ","Київ","вул. Паньківська, 2","(044) 2883315, 2883320","244-19-63@mail.ru","inpsy.naps.gov.ua","Директор","Максименко Сергій Дмитрович"
"99","Інститут рибного господарства Національної академії аграрних наук України","3572",NA,"ІРГ НААН","","1930","04372342","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія аграрних наук України","03164","8038600000","КИЇВ","Київ","вул. Обухівська, 135","03164","8038600000","КИЇВ","Київ","вул. Обухівська, 135","(044) 4237461, 4237457, 4237458","info@if.org.ua","www.if.org.ua","Директор","Грициняк Ігор Іванович"
"100","Інститут соціальної та політичної психології Національної академії педагогічних наук України","3528",NA,"ІСПП НАПН України","Institute for Social and Political Psychology of the National Academy of Educational Sciences of Ukraine","2000","21600715","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","04070","8038500000","КИЇВ","Київ","вул. Андріївська, 15","04070","8038500000","КИЇВ","Київ","вул. Андріївська, 15","(044) 4252408, 4253382. 4254556","ispp@skif.com.ua","","Директор Інституту соціальної та політичної психології","Слюсаревський Микола Миколайович"
"101","Інститут спеціальної педагогіки і психології імені Миколи Ярмаченка національної академії педагогічних наук України","3740",NA,"ІСПП імені Миколи Ярмаченка НАПН України","Mykola Yarmachenko Institute of Special Education and Psychology of National Academy of Educational Sciences of Ukraine","2000","21560861","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія педагогічних наук України","04060","8039100000","КИЇВ","Київ","вул. Максима Берлинського, 9","04060","8039100000","КИЇВ","Київ","вул. Максима Берлинського, 9","044 467 22 18","owow4enko@ukr.net","","Директор","Засенко В`ячеслав Васильович"
"102","Інститут телекомунікацій і глобального інформаційного простору Національної академії наук України","3626",NA,".","","2001","26022051","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03186","8000000000","КИЇВ","Київ","бульв. Чоколівський, 13","03150","8000000000","КИЇВ","Київ","вул. Горького, 180","(044) 2458797; 2458838","1vzotova@ukr.net","","Директор","Трофимчук Олександр Миколайович"
"103","Інститут теоретичної фізики ім. М.М. Боголюбова Національної академії наук України","3751",NA,"ІТФ НАНУ","","2000","05417124","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03680","8036100000","КИЇВ","Київ","вул. Метрологічна, 14-б","03680","8036100000","КИЇВ","Київ","вул. Метрологічна, 14-б","(044) 4921423, 5265362, 5265998","itp@bitp.kiev.ua","www.bitp.kiev.ua","Директор інституту","Загородній Анатолій Глібович"
"104","Інститут Управління державної охорони України Київського національного університету імені Тараса Шевченка","1250","41","Інститут УДО України КНУ ім. Т. Шевченка","Іnstitute of Department of State Guard of Ukraine Taras Shevchenko National University of Kyiv","2010","37471084","Заклад вищої освіти","Інститут","Державна","Міністерство освіти і науки України","01601","8039100000","КИЇВ","Київ","вул. Володимирська, 60","01601","8039100000","КИЇВ","Київ","вул. Володимирська, 60","0442812509","centr@do.gov.ua","","Т.в.п начальника","Литвиненко Олександр Сергійович"
"105","Інститут управління і права Національного юридичного університету імені Ярослава Мудрого","2820","274",".","Institute of Management and Law, Yaroslav Mudryi National Law University","2014","39459127","Заклад вищої освіти","Інститут","Державна","Міністерство освіти і науки України","03057","8038900000","КИЇВ","Київ","вул. Металістів, 17","03057","8038900000","КИЇВ","Київ","вул. Металістів, 17","(044) 4010770; 4578538","dipk@ukr.net","","директор","Ткаченко Юрій Володимирович"
"106","Інститут фізики напівпровідників імені В.Є.Лашкарьова Національної академії наук України","3709",NA,"","","2000","05416952","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03028","8036100000","КИЇВ","Київ","просп. Науки, 41","03028","8036100000","КИЇВ","Київ","просп. Науки, 41","044 525 24 47","lashkaryov@ukr.net","","Директор","Бєляєв Олександр Євгенович"
"107","Інститут фізичної хімії ім. Л.В. Писаржевського Національної академії наук України","3612",NA,"ІФХ НАНУ","L. V. Pisarzhevsky Institute of Physical Chemistry of National Academy of Sciences of Ukraine","2000","05417213","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","03028","8036100000","КИЇВ","Київ","просп. Науки, 31","03028","8036100000","КИЇВ","Київ","просп. Науки, 31","0445251190","admini@inphyschem-nas.kiev.ua","inphyschem-nas.kiev.ua","Директор Інституту","Кошечко Вячеслав Григорович"
"108","Інститут фізіології ім. О.О. Богомольця Національної академії наук України","3518",NA,"ІФ ім. О.О. Богомольця НАН України","O.O. Bogomoletz Institute of Physiology of the National Academy of Sciences of Ukraine","1934","05417093","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01024","8038200000","КИЇВ","Київ","вул. Академіка Богомольця, 4","01024","8038200000","КИЇВ","Київ","вул. Академіка Богомольця, 4","(044) 2562403, 2562089, 2532013","secretar@biph.kiev.ua","","Директор","Кришталь Олег Олександрович"
"109","Інститут фізіології рослин і генетики Національної Академії Наук України","4071",NA,".","Institute of plant phisiology and genetics of national academy of sciences of Ukraine",NA,"05417242","Заклад вищої освіти","Інститут","Державна","Національна академія наук України","03022","8000000000","КИЇВ","Київ","вул. Васильківська, 31/17","03022","8000000000","КИЇВ","Київ","вул. васильківська, 31/17","+380(44)-257-51-50","plant@ifrg.kiev.ua","","Керівник","Моргун Володимир Васильович"
"110","Інститут філософії імені Г. С. Сковороди Національної академії наук України","3698",NA,".","","1946","05417012","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01001","8039100000","КИЇВ","Київ","вул. Трьохсвятительська, 4","01001","8039100000","КИЇВ","Київ","вул. Трьохсвятительська, 4","044 278 06 05","if-ukr@i.kiev.ua","","Директор","Єрмоленко Анатолій Миколайович"
"111","Інститут хімії високомолекулярних сполук Національної академії наук України","3649",NA,"ІХВС НАН України","","2000","05417041","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","02160","8036600000","КИЇВ","Київ","Харківське шосе , 48","02160","8036600000","КИЇВ","Київ","Харківське шосе , 48","0445591394","ihvsnas@i.com.ua","","Директор","Боровко Олександр Олександрович"
"112","Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука","132",NA,"КДАДПМД ім. М. Бойчука","Mykhailo Boichuk Kyiv State Academy of Decorative Applied Arts and Design","1999","21598958","Заклад вищої освіти","Академія","Державна","Міністерство освіти і науки України","01103","8038200000","КИЇВ","Київ","вул. Михайла Бойчука, 32","01103","8038200000","КИЇВ","Київ","вул. Михайла Бойчука, 32","(044) 2857716, 2853275, 2851638","i@kdidpmid.edu.ua","www.kdidpmid.edu.ua","В.о.ректора","Полтавець-Гуйда Оксана Вікторівна"
"113","Київська муніципальна академія естрадного та циркового мистецтв","1282",NA,"КМАЕЦМ","Kyiv Municipal Academy of Circus and Variety Arts","2008","02214952","Заклад вищої освіти","Академія","Комунальна","Виконавчий орган Київської міської ради (Київська міська державна адміністрація)","01032","8036100000","КИЇВ","Київ","вул. Жилянська, 88","01032","8036100000","КИЇВ","Київ","вул. Жилянська, 88","044 284 36 19","inbox@circusacademy.kiev.ua","www.circusacademy.kiev.ua","В. о. ректора","Чавус Лариса Іванівна"
